temperature,rainfall,humidity,soil_moisture,forecast_rainfall,historical_rainfall,historical_temperature,crop_type,soil_type,water_availability,drought_risk,flood_risk,heat_risk,extreme_rainfall_risk
33.9,3.1,87.4,53.1,1.5,203.3,35.4,Pulses,Sandy Loam,Saturated,0,0,0,0
27.2,3.6,69.8,45.0,1.1,136.6,28.6,Soybean,Clayey Loam,Saturated,0,0,0,0
31.3,0.0,46.2,31.8,12.3,64.2,31.1,Paddy,Alluvial Soil,Adequate,0,0,0,0
26.4,0.0,54.7,51.9,1.7,95.5,24.8,Cotton,Alluvial Soil,Saturated,0,0,0,0
22.4,0.0,79.7,36.3,19.8,79.9,23.7,Soybean,Black Soil,Adequate,0,0,0,0
23.9,0.0,31.5,18.0,5.3,55.3,22.6,Mustard,Sandy Loam,Adequate,0,0,0,0
25.9,30.4,71.0,30.4,30.7,24.8,27.0,Cotton,Clayey Loam,Low / Moderate Deficit,0,0,0,0
32.0,0.0,77.6,18.4,1.6,67.4,30.2,Pulses,Alluvial Soil,Adequate,0,0,0,0
32.0,0.0,58.5,13.7,3.8,0.6,30.7,Mustard,Red Soil,Critical Deficit,1,0,0,0
21.5,0.0,78.8,21.8,59.5,69.1,19.3,Pulses,Alluvial Soil,Adequate,0,0,0,1
25.1,0.0,51.0,30.5,5.0,72.2,25.6,Sugarcane,Clayey Loam,Adequate,0,0,0,0
38.2,0.0,63.2,23.5,1.1,47.8,37.6,Sugarcane,Sandy Loam,Low / Moderate Deficit,0,0,1,0
30.0,0.0,55.8,22.9,0.8,81.3,28.8,Sugarcane,Clayey Loam,Low / Moderate Deficit,0,0,0,0
29.9,0.0,59.5,30.5,3.6,84.9,30.6,Soybean,Black Soil,Adequate,0,0,0,0
27.3,0.0,58.5,53.4,3.0,161.6,30.3,Paddy,Black Soil,Saturated,0,0,0,0
22.1,0.0,48.0,24.7,1.9,73.1,22.4,Soybean,Sandy Loam,Adequate,0,0,0,0
41.6,0.0,61.5,39.3,1.2,72.6,40.2,Mustard,Black Soil,Adequate,0,0,1,0
32.6,0.0,15.5,48.6,3.4,176.6,33.6,Sugarcane,Sandy Loam,Saturated,0,0,0,0
19.7,0.0,62.1,31.0,10.1,32.3,19.9,Wheat,Red Soil,Adequate,0,0,0,0
30.7,0.0,61.9,28.9,6.6,57.7,32.4,Cotton,Red Soil,Low / Moderate Deficit,0,0,0,0
41.2,0.0,68.5,29.2,0.8,41.2,42.4,Mustard,Black Soil,Low / Moderate Deficit,0,0,1,0
24.8,0.0,62.6,30.3,0.9,61.0,24.4,Sugarcane,Red Soil,Low / Moderate Deficit,0,0,0,0
28.4,23.1,98.0,16.1,8.2,2.7,28.2,Wheat,Clayey Loam,Critical Deficit,1,0,0,0
32.0,0.0,69.1,37.7,1.2,83.7,34.3,Sugarcane,Clayey Loam,Adequate,0,0,0,0
27.3,14.6,75.4,28.8,68.8,26.3,29.9,Sugarcane,Clayey Loam,Adequate,0,0,0,1
23.8,0.0,38.7,27.7,0.4,39.3,26.5,Mustard,Alluvial Soil,Adequate,0,0,0,0
25.6,17.8,63.5,24.0,5.4,23.3,24.6,Wheat,Red Soil,Adequate,0,0,0,0
41.3,0.0,47.8,14.8,0.5,0.6,42.2,Paddy,Sandy Loam,Critical Deficit,1,0,1,0
39.4,17.6,62.3,25.3,2.2,55.1,38.4,Pulses,Red Soil,Adequate,0,0,1,0
